"Scopus Author ID","Name","Latest Affilation","Latest Affiliation Country","Latest Affiliation Scopus Organization ID","Number of matching documents","Total citations","Total documents","h-index","First publication year"
"57191691341","Liu, Zhiyuan","Tsinghua University","China","60025278","47","13057","290","66","2008"
"56145767700","Yang, Diyi","Stanford University","United States","60012708","34","6187","132","29","2014"
"56350054200","Cotterell, Ryan D.","ETH Zürich","Switzerland","60025858","34","1909","170","30","2014"
"24474583400","Gurevych, Iryna","Technische Universität Darmstadt","Germany","60011226","31","11435","386","54","2002"
"23093674100","Ekbal, Asif","Indian Institute of Technology Patna","India","60104342","30","3969","413","36","2006"
"36141167700","Neubig, Graham","Carnegie Mellon University","United States","60027950","29","9136","406","58","2009"
"37044239600","Smith, Noah A.","University of Washington","United States","60015481","29","17592","305","71","2002"
"24502911300","Chang, Kaiwei","University of California, Los Angeles","United States","60027550","27","12758","209","44","2008"
"56582580300","Vulić, Ivan","University of Cambridge","United Kingdom","60031101","27","3127","171","37","2011"
"56066648800","Zhang, Yue","Westlake University","China","60117660","27","7471","320","55","2007"
"7403180987","Sun, Maosong","Tsinghua University","China","60025278","27","15153","392","61","1997"
"24336006300","Sogaard, Anders","Københavns Universitet","Denmark","60030840","24","3619","227","35","2006"
"52163746900","Hovy, Dirk","Università Bocconi","Italy","60021796","23","3067","102","31","2009"
"24604968400","Gelbukh, Alexander F.","Instituto Politécnico Nacional","Mexico","60019176","23","6369","483","39","1999"
"55535054500","Saini, Jatinderkumar R.","Symbiosis Institute of Computer Studies and Research","India","60106947","21","333","127","13","2010"
"57197872736","Ruder, Sebastian","DeepMind Technologies Limited","United Kingdom","60111161","21","4399","69","32","2016"
"23987049200","Korhonen, Anna","University of Cambridge","United Kingdom","60031101","21","4664","193","37","1998"
"57199476645","Liu, Ting","Harbin Institute of Technology","China","60019616","20","5415","225","40","2004"
"12772581800","Verspoor, Karin M.","RMIT University","Australia","60011362","20","4328","273","35","1998"
"24831962300","Dascalu, Mihai","Academia Româna","Romania","60002823","19","1378","249","19","2008"
"7101803108","Bhattacharyya, Pushpak","Indian Institute of Technology Bombay","India","60014153","19","4334","536","33","1993"
"55645924700","Wu, Yonghui","University of Florida College of Medicine","United States","60007567","19","2304","106","28","2011"
"24484045400","Vysotska, Victoria","Lviv Polytechnic National University","Ukraine","60080765","18","698","202","34","2007"
"56495276900","Rasel, Annajiat Alim","BRAC University","Bangladesh","60008935","18","80","69","5","2014"
"36634645400","Plank, Barbara","Ludwig-Maximilians-Universität München","Germany","60028717","18","2354","128","31","2006"
"37079700700","Thenmozhi, D.","SSN College of Engineering, Kalavakkam","India","60079728","18","349","70","11","2012"
"56387940900","Williams, Adina","Meta AI","United States","128344002","18","3029","39","18","2017"
"56242866900","Espinosa-Anke, Luis","AMPLYFI","United Kingdom","128332271","17","960","78","18","2014"
"51665958500","Tsvetkov, Yulia","University of Washington","United States","122262483","17","2211","102","26","2010"
"7409753328","Liu, Hongfang","Mayo Clinic","United States","60005558","17","8025","422","51","1999"
"55926354300","Wang, Chengyu","Alibaba Group Holding Limited","China","60118460","17","556","98","14","2013"
"56899042300","Camacho-Collados, José","Cardiff University","United Kingdom","60023998","17","1930","76","27","2014"
"23008126600","Hajishirzi, Hanna","Allen Institute for Artificial Intelligence","China","129851407","17","4986","141","42","2007"
"57155321900","Lin, Yankai","Renmin University of China","China","60014402","17","5559","70","29","2015"
"56824507200","Lin, Jimmy","David R. Cheriton School of Computer Science","Canada","60000463","17","9042","402","58","1999"
"55613242636","Zhang, Rui","University of Minnesota Twin Cities","United States","60029445","17","1444","101","20","2004"
"55236320300","Augenstein, Isabelle","Københavns Universitet","Denmark","60030840","17","1986","110","25","2012"
"55493876700","Xu, Hua","Yale School of Medicine","United States","60017994","17","7412","268","51","2003"
"55345399800","Kocoń, Jan","Politechnika Wrocławska","Poland","60019987","16","232","54","11","2012"
"57191892846","Basile, Valerio","Università degli Studi di Torino","Italy","60012259","16","1869","112","24","2011"
"36172231400","Choi, Yejin","University of Washington","United States","124242612","16","12194","210","64","2005"
"57196122281","Zhang, Zhengyan","Beijing National Research Center for Information Science and Technology","China","60104026","16","3235","34","13","2017"
"55436576000","Hoque, Mohammed Moshiul","Chittagong University of Engineering and Technology","Bangladesh","60013024","16","678","134","15","2006"
"56349712700","Yang, Min","Shenzhen Institute of Advanced Technology","China","60102083","16","4001","233","35","2012"
"55970130200","Mamidi, Radhika","International Institute of Information Technology, Hyderabad","India","60000163","16","537","102","11","2013"
