,Authors,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Affiliations,Correspondence Address,Document Type,Source
0,Wichtowski M.,56367390300,Why phenomenological theory cannot be used to analyze the dynamics of dark photorefractive solitons,2023,Photonics Letters of Poland,0.0,10.4302/plp.v15i4.1244,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181742099&doi=10.4302%2fplp.v15i4.1244&partnerID=40&md5=38a9735638b97b282cf4ac964bb6e087,"Faculty of Electrical Engineering, West Pomeranian University of Technology, al Piastów 17, Szczecin, 70-310, Poland","M. Wichtowski; Faculty of Electrical Engineering, West Pomeranian University of Technology, Szczecin, al Piastów 17, 70-310, Poland; email: marekw@zut.edu.pl",Article,Scopus
1,Subashini K.; Narmatha V.,55578386200; 56623130500,MANTA RAY FORAGING OPTIMIZATION ALGORITHM WITH DEEP LEARNING ASSISTED AUTOMATED PHISHING URL DETECTION MODEL,2023,Journal of Theoretical and Applied Information Technology,0.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182567356&partnerID=40&md5=5780afb43ec847ba42e1886ef889c802,"Department of Computer and Information Science, Annamalai University, Tamil Nadu, India",,Article,Scopus
2,Bamaga A.K.; Zafer B.; Terzis S.,58675281900; 58810000500; 9743437700,Understanding LMS Use in Saudi Higher Education: A Case Study of Blackboard at King Abdulaziz University,2023,Journal of Higher Education Theory and Practice,0.0,10.33423/jhetp.v23i20.6714,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182141615&doi=10.33423%2fjhetp.v23i20.6714&partnerID=40&md5=f98a1bc81c53efb63dbaa6e9af09d2c4,"King Abdulaziz University, Saudi Arabia; University of Strathclyde, United Kingdom",,Article,Scopus
3,Schwarz A.; Faj T.,36606838200; 58826004500,Communicating and perceiving risks of artificial intelligence as an emerging technology,2023,Communicating Risk and Safety,0.0,10.1515/9783110752427-027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182820448&doi=10.1515%2f9783110752427-027&partnerID=40&md5=d8b6d66d1c2c028a44739c77d22274f5,"Technische Universität Ilmenau, Germany",,Book chapter,Scopus
4,He J.; Hu Q.,58829605800; 15072703900,Analysis of prognostic factors and establishment of prediction model of lung adenocarcinoma based on SEER database,2023,Translational Cancer Research,0.0,10.21037/tcr-23-992,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182910123&doi=10.21037%2ftcr-23-992&partnerID=40&md5=af20f7ea7b485ee56dd6187b5b9562c9,"Department of Oncology, Renmin Hospital, Wuhan University, Wuhan, China","Q. Hu; Department of Oncology, Renmin Hospital, Wuhan University, Wuhan, 238 Jiefang Road, 430060, China; email: rm001223@whu.edu.cn",Article,Scopus
5,Huang P.; Li H.; Ren L.; Xie H.; Chen L.; Liang Y.; Hu Y.; Selistre-De-Araujo H.S.; Boussios S.; Jhawar S.R.; Cui R.; Zuo Q.; Chen Q.,57701048800; 57225001042; 57216741174; 58077571300; 57224120897; 57208632754; 58831867900; 7004261945; 55400219500; 57194564085; 7006666340; 57217486140; 12786559200,Astragaloside IV enhances the sensitivity of breast cancer stem cells to paclitaxel by inhibiting stemness,2023,Translational Cancer Research,0.0,10.21037/tcr-23-1885,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182879246&doi=10.21037%2ftcr-23-1885&partnerID=40&md5=ededb7c342bd08c8e86d15113edea33b,"State Key Laboratory of Traditional Chinese Medicine Syndrome, The Second Affiliated Hospital of Guangzhou University of Chinese Medicine, Guangzhou, China; Department of Breast, Guangdong Provincial Hospital of Chinese Medicine, Guangzhou, China; Guangdong Academy of Chinese Medicine, Guangzhou, China; Biochemistry and Molecular Biology Laboratory, Department of Physiological Sciences, Universidade Federal de São Carlos (UFSCar), São Carlos, Brazil; Department of Medical Oncology, Medway NHS Foundation Trust, Kent, United Kingdom; Faculty of Life Sciences & Medicine, School of Cancer & Pharmaceutical Sciences, King's College London, London, United Kingdom; Kent Medway Medical School, University of Kent, Kent, United Kingdom; AELIA Organization, Thessaloniki, Greece; Department of Radiation Oncology, The Ohio State University, Wexner Medical Center, Columbus, OH, United States; Zhejiang University, School of Medicine, Hangzhou, China","Q. Chen; State Key Laboratory of Traditional Chinese Medicine Syndrome, The Second Affiliated Hospital, Guangzhou University of Chinese Medicine, Guangzhou, 55 N, Neihuanxi Road, 510006, China; email: cqj55@163.com; Q. Zuo; Department of Breast, Guangdong Provincial Hospital of Chinese Medicine, Guangzhou, 111 N Dade Road, 510120, China; email: 827649822@qq.com; R. Cui; Zhejiang University, School of Medicine, Hangzhou, 866 Yuhangtang Road, 310058, China; email: rutaocui@hotmail.com",Article,Scopus
6,González J.A.R.,58828040800,Earthquake risk communication of individual protective actions for big earthquakes: A situational choreography model based on social communication engineering,2023,Communicating Risk and Safety,0.0,10.1515/9783110752427-022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182851076&doi=10.1515%2f9783110752427-022&partnerID=40&md5=68db8b3add7e04e49c2da71b058203a9,,,Book chapter,Scopus
7,Mohamed-Yassin M.-S.,57211279410,When was the last time you cried?,2023,Malaysian Family Physician,0.0,10.51866/mol.508,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181909328&doi=10.51866%2fmol.508&partnerID=40&md5=24026a8fc192b9e54bb226bf8674a132,"Department of Primary Care Medicine, Universiti Teknologi MARA, Sungai Buloh Campus, Selangor, Sungai Buloh, Malaysia","M.-S. Mohamed-Yassin; Department of Primary Care Medicine, Universiti Teknologi MARA, Sungai Buloh, Sungai Buloh Campus, Selangor, Malaysia; email: syarif8258@uitm.edu.my",Note,Scopus
8,Zhang Y.; Tian Z.; Li L.; Qian H.,57305700900; 7202984897; 55682607800; 57655937800,Two-fluid fully implicit Picard-Krylov algorithm for rod bundle subchannel; [棒束子通道两流体全隐式 Picard Krylov 算法],2023,Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University,0.0,10.11990/jheu.202309010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184031833&doi=10.11990%2fjheu.202309010&partnerID=40&md5=e6be0d4a286d3f126544c695a6119897,"Fundamental Science on Nuclear Safety and Simulation Technology Laboratory, Harbin Engineering University, Harbin, 150001, China","Z. Tian; Fundamental Science on Nuclear Safety and Simulation Technology Laboratory, Harbin Engineering University, Harbin, 150001, China; email: tian_zf@hrbeu.edu.cn",Article,Scopus
9,Park S.; Cho J.; Huh Y.,56590703100; 7403536141; 26321674900,Distinct Role of Parvalbumin Expressing Neurons in the Reticular Thalamic Nucleus in Nociception,2023,Experimental Neurobiology,0.0,10.5607/EN23018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183548754&doi=10.5607%2fEN23018&partnerID=40&md5=e6d3cc7ca49080b44f263ce7418f71da,"Department of Brain and Cognitive Sciences, Scranton College, Ewha Womans University, Seoul, 03760, South Korea; Brain Disease Research Institute, Ewha Brain Institute, Ewha Womans University, Seoul, 03760, South Korea; Department of Medical Science, College of Medicine, Catholic Kwandong University, Gangneung, 25601, South Korea; Translational Brain Research Center, International St. Mary’s Hospital, Catholic Kwandong University, Incheon, 22711, South Korea","J. Cho; Department of Brain and Cognitive Sciences, Scranton College, Ewha Womans University, Seoul, 03760, South Korea; email: jelectro21@ewha.ac.kr; Y. Huh; Department of Medical Science, College of Medicine, Catholic Kwandong University, Gangneung, 25601, South Korea; email: huh06@cku.ac.kr",Article,Scopus
